[33124, 32890, 33216, 32969, 33372, 33329, 33247, 33249, 33263, 33425, 33314, 33485, 33419, 33102, 33432, 33493, 33152, 33124, 33301, 33259, 33501, 33396, 33361, 33518, 33439, 33463, 33595, 33879, 33311, 33391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[12316, 334283, 85602, 30187, 21260, 20343, 20292, 20313, 20136, 20255, 20298, 20370, 20225, 20192, 20274, 20486, 19968, 20003, 20103, 20197, 19996, 20197, 20088, 20375, 20231, 20480, 20186, 20504, 20232, 20380, 8078, 1821, 303, 42, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[4563, 441050, 159459, 52280, 21015, 13998, 12488, 12305, 12308, 12293, 12392, 12459, 12268, 12030, 12341, 12478, 12141, 12210, 12093, 12212, 12233, 12189, 12122, 12343, 12408, 12286, 12254, 12435, 12474, 12504, 7838, 3228, 1043, 224, 45, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[1700, 478428, 206736, 78905, 29226, 13141, 8769, 7736, 7476, 7544, 7434, 7552, 7465, 7337, 7396, 7406, 7499, 7369, 7522, 7409, 7434, 7475, 7310, 7365, 7542, 7536, 7547, 7563, 7455, 7543, 5782, 3281, 1429, 510, 153, 37, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[638, 491918, 230378, 99769, 39658, 15893, 7895, 5349, 4684, 4544, 4526, 4503, 4497, 4479, 4546, 4422, 4560, 4361, 4477, 4490, 4531, 4524, 4548, 4426, 4507, 4605, 4560, 4505, 4476, 4660, 3910, 2666, 1494, 671, 224, 95, 20, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[247, 497399, 241149, 111772, 48245, 20127, 8677, 4566, 3285, 2881, 2750, 2760, 2759, 2687, 2745, 2781, 2641, 2762, 2672, 2752, 2674, 2810, 2714, 2712, 2765, 2800, 2804, 2699, 2648, 2824, 2575, 1942, 1230, 688, 291, 122, 48, 12, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[108, 499906, 245188, 118759, 54354, 23830, 10257, 4596, 2690, 1929, 1749, 1628, 1712, 1619, 1657, 1728, 1577, 1681, 1681, 1714, 1654, 1688, 1673, 1629, 1670, 1671, 1742, 1684, 1628, 1609, 1626, 1306, 948, 604, 299, 144, 55, 14, 8, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[48, 500177, 247909, 122016, 57811, 26722, 11861, 5263, 2546, 1555, 1128, 1069, 1029, 1007, 1000, 1016, 1031, 995, 1074, 1082, 1022, 958, 978, 1036, 1031, 988, 1041, 1001, 1090, 1009, 921, 863, 722, 485, 265, 152, 78, 25, 9, 3, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[28, 500581, 249355, 122849, 59913, 28725, 13327, 5982, 2747, 1357, 839, 621, 676, 600, 628, 609, 656, 598, 626, 654, 688, 569, 616, 597, 625, 608, 615, 611, 638, 637, 602, 526, 481, 361, 226, 120, 74, 32, 15, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[22, 500016, 250218, 124349, 61060, 29485, 14158, 6468, 3031, 1425, 752, 456, 428, 396, 380, 393, 397, 384, 362, 436, 412, 361, 367, 353, 378, 367, 386, 375, 378, 386, 378, 290, 312, 253, 183, 92, 73, 33, 17, 5, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
